"DATE/TIME
DAY OF WEEK",CRIME TYPE DESCRIPTION,ADDRESS,INCIDENT #
STOLEN VEHICLE,3800 BLOCK SOUTH CAPE HENRY AV  ,"10/16/2015 04:00 
FRIDAY",151016000011
STOLEN VEHICLE,1300 BLOCK 37TH ST  ,"10/16/2015 17:00 
FRIDAY",151017000057
STOLEN VEHICLE,700 BLOCK SHEPPARD AV  ,"10/17/2015 20:00 
SATURDAY",151018000024
STOLEN VEHICLE,1700 BLOCK JUBILEE ST  ,"10/17/2015 23:45 
SATURDAY",151018000075
STOLEN VEHICLE,7300 BLOCK HAMPTON BLVD  ,"10/18/2015 04:00 
SUNDAY",151018231603
STOLEN VEHICLE,5300 BLOCK OLD COURT DR  ,"10/19/2015 03:20 
MONDAY",151019000023
 VANDALISM, 64 crime(s) ,,
VANDALISM,200 BLOCK E LITTLE CREEK RD  ,"10/13/2015 00:00 
TUESDAY",151013000098
VANDALISM,3000 BLOCK E OCEAN VIEW AV  ,"10/13/2015 01:00 
TUESDAY",151013000037
VANDALISM,1300 BLOCK PICADILLY ST  ,"10/13/2015 12:15 
TUESDAY",151013000084
VANDALISM,2200 BLOCK MALTBY AV  ,"10/13/2015 13:21 
TUESDAY",151013000099
VANDALISM,800 BLOCK GOFF ST  ,"10/13/2015 17:00 
TUESDAY",151014000017
VANDALISM,1400 BLOCK MCNEAL AV  ,"10/13/2015 17:00 
TUESDAY",151014000036
VANDALISM,800 BLOCK 51ST ST  ,"10/13/2015 17:45 
TUESDAY",151013231601
VANDALISM,5500 BLOCK E VIRGINIA BEACH BLVD  ,"10/13/2015 19:45 
TUESDAY",151014000096
VANDALISM,400 BLOCK SAINT PAULS BLVD  ,"10/13/2015 20:20 
TUESDAY",151013000130
VANDALISM,1400 BLOCK E BAYVIEW BLVD  ,"10/13/2015 21:00 
TUESDAY",151014000129
VANDALISM,800 BLOCK GOFF ST  ,"10/13/2015 23:00 
TUESDAY",151014000038
VANDALISM,1400 BLOCK KINGSTON AV  ,"10/14/2015 00:00 
WEDNESDAY",151014000092
VANDALISM,100 BLOCK W LIBERTY ST  ,"10/14/2015 08:30 
WEDNESDAY",151014000082
VANDALISM,4600 BLOCK VILLAGE AV  ,"10/14/2015 10:25 
WEDNESDAY",151014000056
